ダウンロードした時刻：2020/08/12 14:47:28

,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま,さいたま
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2008/8/10,26.0,8,1,28.9,8,2,23.7,8,2
2008/8/11,27.5,8,1,32.3,8,2,23.7,8,2
2009/8/1,23.9,8,1,28.0,8,3,21.2,8,3
2009/8/2,23.1,8,1,24.8,8,3,22.2,8,3
2009/8/3,25.6,8,1,30.4,8,3,22.4,8,3
2009/8/4,26.2,8,1,29.8,8,3,23.3,8,3
2009/8/5,27.7,8,1,31.9,8,3,24.6,8,3
2009/8/6,27.4,8,1,30.9,8,3,25.0,8,3
2009/8/7,27.5,8,1,32.0,8,3,23.9,8,3
2009/8/8,26.1,8,1,29.6,8,3,23.7,8,3
2009/8/9,26.2,8,1,29.4,8,3,24.1,8,3
2009/8/10,26.6,8,1,29.4,8,3,23.9,8,3
2009/8/11,26.0,8,1,28.5,8,3,24.3,8,3
2010/8/1,30.1,8,1,35.3,8,3,25.8,8,3
2010/8/2,29.4,8,1,32.3,8,3,27.2,8,3
2010/8/3,30.3,8,1,34.5,8,3,27.3,8,3
2010/8/4,30.3,8,1,34.4,8,3,26.7,8,3
2010/8/5,30.6,8,1,35.5,8,3,26.4,8,3
2010/8/6,29.8,8,1,34.3,8,3,27.1,8,3
2010/8/7,29.2,8,1,34.1,8,3,24.3,8,3
2010/8/8,28.5,8,1,32.7,8,3,25.3,8,3
2010/8/9,26.3,8,1,29.4,8,3,24.0,8,3
2010/8/10,27.7,8,1,32.2,8,3,25.3,8,3
2010/8/11,29.6,8,1,33.8,8,3,26.6,8,3
2011/8/1,24.0,8,1,27.3,8,3,21.4,8,3
2011/8/2,24.8,8,1,28.3,8,3,21.6,8,3
2011/8/3,25.4,8,1,30.2,8,3,22.9,8,3
2011/8/4,25.9,8,1,28.8,8,3,23.6,8,3
2011/8/5,27.5,8,1,32.2,8,3,24.3,8,3
2011/8/6,28.5,8,1,34.0,8,3,25.3,8,3
2011/8/7,27.7,8,1,34.9,8,3,24.5,8,3
2011/8/8,28.6,8,1,34.9,8,3,23.5,8,3
2011/8/9,29.9,8,1,36.2,8,3,25.2,8,3
2011/8/10,30.9,8,1,36.7,8,3,26.2,8,3
2011/8/11,30.1,8,1,35.5,8,3,26.4,8,3
2012/8/1,28.7,8,1,33.5,8,3,24.0,8,3
2012/8/2,30.0,8,1,35.5,8,3,25.5,8,3
2012/8/3,29.5,8,1,34.3,8,3,25.2,8,3
2012/8/4,27.9,8,1,32.3,8,3,24.3,8,3
2012/8/5,29.5,8,1,35.5,8,3,24.4,8,3
2012/8/6,27.0,8,1,29.8,8,3,24.3,8,3
2012/8/7,28.0,8,1,34.2,8,3,23.3,8,3
2012/8/8,25.5,8,1,29.8,8,3,22.8,8,3
2012/8/9,25.6,8,1,30.9,8,3,21.6,8,3
2012/8/10,27.0,8,1,32.2,8,3,23.0,8,3
2012/8/11,27.6,8,1,32.9,8,3,24.0,8,3
2013/8/1,26.6,8,1,31.4,8,3,23.6,8,3
2013/8/2,25.1,8,1,30.4,8,3,22.3,8,3
2013/8/3,26.0,8,1,31.8,8,3,21.5,8,3
2013/8/4,27.1,8,1,31.0,8,3,23.8,8,3
2013/8/5,28.9,8,1,33.0,8,3,25.0,8,3
2013/8/6,27.6,8,1,32.2,8,3,24.3,8,3
2013/8/7,28.9,8,1,34.4,8,3,22.6,8,3
2013/8/8,29.3,8,1,35.1,8,3,23.9,8,3
2013/8/9,31.2,8,1,36.5,8,3,25.4,8,3
2013/8/10,32.6,8,1,37.7,8,3,26.8,8,3
2013/8/11,31.4,8,1,37.5,8,3,27.2,8,3
2014/8/1,29.4,8,1,36.0,8,3,24.1,8,3
2014/8/2,29.9,8,1,35.9,8,3,23.9,8,3
2014/8/3,30.4,8,1,36.3,8,3,25.4,8,3
2014/8/4,30.6,8,1,35.4,8,3,26.5,8,3
2014/8/5,31.7,8,1,37.2,8,3,27.3,8,3
2014/8/6,31.3,8,1,36.5,8,3,26.7,8,3
2014/8/7,29.6,8,1,34.9,8,3,25.2,8,3
2014/8/8,27.1,8,1,30.8,8,3,24.6,8,3
2014/8/9,24.6,8,1,27.5,8,3,22.0,8,3
